model,ens,exp,postprocess,table,varn,period,mean
BNU-ESM,r1i1p1,rcp26,global_mean,Amon,tas,2081-2090,2.23
CCSM4,r1i1p1,rcp26,global_mean,Amon,tas,2081-2090,1.84
CESM1-CAM5,r1i1p1,rcp26,global_mean,Amon,tas,2081-2090,2.01
CNRM-CM5,r1i1p1,rcp26,global_mean,Amon,tas,2081-2090,1.66
CSIRO-Mk3-6-0,r1i1p1,rcp26,global_mean,Amon,tas,2081-2090,1.95
CanESM2,r1i1p1,rcp26,global_mean,Amon,tas,2081-2090,2.31
EC-EARTH,r8i1p1,rcp26,global_mean,Amon,tas,2081-2090,1.86
FGOALS-g2,r1i1p1,rcp26,global_mean,Amon,tas,2081-2090,1.13
FIO-ESM,r1i1p1,rcp26,global_mean,Amon,tas,2081-2090,0.87
GISS-E2-H,r1i1p1,rcp26,global_mean,Amon,tas,2081-2090,1.58
GISS-E2-R,r1i1p1,rcp26,global_mean,Amon,tas,2081-2090,1.06
IPSL-CM5A-LR,r1i1p1,rcp26,global_mean,Amon,tas,2081-2090,2.31
IPSL-CM5A-MR,r1i1p1,rcp26,global_mean,Amon,tas,2081-2090,1.95
MIROC5,r1i1p1,rcp26,global_mean,Amon,tas,2081-2090,1.51
MPI-ESM-LR,r1i1p1,rcp26,global_mean,Amon,tas,2081-2090,1.62
MPI-ESM-MR,r1i1p1,rcp26,global_mean,Amon,tas,2081-2090,1.65
MRI-CGCM3,r1i1p1,rcp26,global_mean,Amon,tas,2081-2090,1.38
NorESM1-ME,r1i1p1,rcp26,global_mean,Amon,tas,2081-2090,1.50
NorESM1-M,r1i1p1,rcp26,global_mean,Amon,tas,2081-2090,1.43
bcc-csm1-1-m,r1i1p1,rcp26,global_mean,Amon,tas,2081-2090,1.80
bcc-csm1-1,r1i1p1,rcp26,global_mean,Amon,tas,2081-2090,1.79
BNU-ESM,r1i1p1,rcp26,global_mean,Amon,tas,2091-2100,2.30
CCSM4,r1i1p1,rcp26,global_mean,Amon,tas,2091-2100,1.85
CESM1-CAM5,r1i1p1,rcp26,global_mean,Amon,tas,2091-2100,2.01
CNRM-CM5,r1i1p1,rcp26,global_mean,Amon,tas,2091-2100,1.67
CSIRO-Mk3-6-0,r1i1p1,rcp26,global_mean,Amon,tas,2091-2100,1.97
CanESM2,r1i1p1,rcp26,global_mean,Amon,tas,2091-2100,2.28
EC-EARTH,r8i1p1,rcp26,global_mean,Amon,tas,2091-2100,1.81
FGOALS-g2,r1i1p1,rcp26,global_mean,Amon,tas,2091-2100,1.11
FIO-ESM,r1i1p1,rcp26,global_mean,Amon,tas,2091-2100,0.82
GISS-E2-H,r1i1p1,rcp26,global_mean,Amon,tas,2091-2100,1.56
GISS-E2-R,r1i1p1,rcp26,global_mean,Amon,tas,2091-2100,1.04
IPSL-CM5A-LR,r1i1p1,rcp26,global_mean,Amon,tas,2091-2100,2.28
IPSL-CM5A-MR,r1i1p1,rcp26,global_mean,Amon,tas,2091-2100,1.97
MIROC5,r1i1p1,rcp26,global_mean,Amon,tas,2091-2100,1.49
MPI-ESM-LR,r1i1p1,rcp26,global_mean,Amon,tas,2091-2100,1.62
MPI-ESM-MR,r1i1p1,rcp26,global_mean,Amon,tas,2091-2100,1.65
MRI-CGCM3,r1i1p1,rcp26,global_mean,Amon,tas,2091-2100,1.35
NorESM1-ME,r1i1p1,rcp26,global_mean,Amon,tas,2091-2100,1.52
NorESM1-M,r1i1p1,rcp26,global_mean,Amon,tas,2091-2100,1.39
bcc-csm1-1-m,r1i1p1,rcp26,global_mean,Amon,tas,2091-2100,1.78
bcc-csm1-1,r1i1p1,rcp26,global_mean,Amon,tas,2091-2100,1.88
ACCESS1-0,r1i1p1,rcp45,global_mean,Amon,tas,2021-2040,1.49
ACCESS1-3,r1i1p1,rcp45,global_mean,Amon,tas,2021-2040,1.33
BNU-ESM,r1i1p1,rcp45,global_mean,Amon,tas,2021-2040,2.21
CCSM4,r1i1p1,rcp45,global_mean,Amon,tas,2021-2040,1.79
CESM1-BGC,r1i1p1,rcp45,global_mean,Amon,tas,2021-2040,1.72
CESM1-CAM5,r1i1p1,rcp45,global_mean,Amon,tas,2021-2040,1.54
CMCC-CMS,r1i1p1,rcp45,global_mean,Amon,tas,2021-2040,1.39
CMCC-CM,r1i1p1,rcp45,global_mean,Amon,tas,2021-2040,1.41
CNRM-CM5,r1i1p1,rcp45,global_mean,Amon,tas,2021-2040,1.35
CSIRO-Mk3-6-0,r1i1p1,rcp45,global_mean,Amon,tas,2021-2040,1.34
CanESM2,r1i1p1,rcp45,global_mean,Amon,tas,2021-2040,1.99
EC-EARTH,r1i1p1,rcp45,global_mean,Amon,tas,2021-2040,1.70
